speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
JONES,KAYDEL KO CONNIX,0,We're not clear yet! There's still 30 pallets of cannon shells in C bunker.,1,14,
KAYDEL KO CONNIX,JONES,1,"Forget the munitions, there's no time. Just get everyone on the transport. Oh, no.",2,14,
PEAVEY,ARMITAGE HUX,2,We've caught them in the middle of their evacuation.,1,9,
ARMITAGE HUX,PEAVEY,3,"I have my orders from Supreme Leader Snoke himself. This is where we snuff out the Resistance once and for all. Tell Captain Canady to prime his dreadnought. Incinerate their base, destroy their transports and obliterate their fleet.",1,38,
MONITOR,ARMITAGE HUX,4,"General, Resistance ship approaching. Guns and shields in attack mode.",1,11,
ARMITAGE HUX,MONITOR,5,A single light fighter?,1,4,
BB8,POE,6,daaaa di du duooo,1,6,
POE,BB8,7,"Happy beeps here, buddy, come on.",1,6,
BB8,POE,8,da da da-a,1,3,
POE,BB8,9,We've pulled crazier stunts than this.,1,6,
LEIA,POE,10,"Just for the record, Commander Dameron, I'm with the droid on this one.",1,13,
POE,LEIA,11,"Thank you for your support, General.",1,6,
POE,BB8,12,Happy beeps.,1,2,
POE,ARMITAGE HUX,13,"Attention! This is Commander Poe Dameron of the Republic fleet, I have an urgent communique for General Hux.",1,18,
ARMITAGE HUX,NA,14,Patch him through.,1,3,
ARMITAGE HUX,POE,15,This is General Hux of the First Order. The Republic is no more. Your fleet are Rebel scum and war criminals. Tell your precious princess there will be no terms... there will be no surrender.,1,35,
POE,ARMITAGE HUX,16,"Hi, I'm holding for General Hugs.",1,6,
ARMITAGE HUX,POE,17,This is Hux. You and your friends are doomed! We will wipe your filth from the galaxy.,1,17,
POE,ARMITAGE HUX,18,"OK, I'll hold.",1,3,
ARMITAGE HUX,POE,19,Hello?,1,1,
POE,ARMITAGE HUX,20,Hello? Yup. I'm still here.,1,5,
ARMITAGE HUX,POE,21,Can you...,1,2,
ARMITAGE HUX,NA,22,Can he hear me?,1,4,
POE,ARMITAGE HUX,23,Hugs?,1,1,
ARMITAGE HUX,NA,24,He can.,1,2,
POE,ARMITAGE HUX,25,With an 'H'. Skinny guy. Kinda pasty.,1,7,
ARMITAGE HUX,POE,26,I can hear you. Can you hear me?,1,8,
