speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
LOR SAN TEKKA,POE,0,"This will begin to make things right. I've traveled too far, and seen too much, to ignore the despair in the galaxy. Without the Jedi, there can be no balance in the Force.",2,33,
POE,LOR SAN TEKKA,1,"Well, because of you now we have a chance. The General's been after this for a long time.",1,18,
LOR SAN TEKKA,POE,2,"""The General."" To me, she is royalty.",1,7,
POE,LOR SAN TEKKA,3,"Well, she certainly is that.",1,5,
POE,LOR SAN TEKKA,4,We've got company. You have to hide.,2,7,
LOR SAN TEKKA,POE,5,You have to leave. Go!,1,5,
POE,BB8,6,"Come on, BB-8! Hurry!",1,4,
POE,BB8,7,I see 'em! You take this. It's safer with you than it is with me. You get as far away from here as you can. Do you hear me?,5,29,
POE,BB8,8,I'll come back for you! It will be all right.,2,10,
TROOPER 1,NA,9,Keep moving,1,2,
SENIOR TROOPER,NA,10,Stay here.,1,2,
KYLO REN,LOR SAN TEKKA,11,Look how old you've become.,1,5,
LOR SAN TEKKA,KYLO REN,12,Something far worse has happened to you.,2,7,
KYLO REN,LOR SAN TEKKA,13,You know what I've come for.,1,6,
LOR SAN TEKKA,KYLO REN,14,I know where you come from. Before you called yourself Kylo Ren.,2,12,
KYLO REN,LOR SAN TEKKA,15,"The map to Skywalker. We know you've found it, and now you're going to give it to the First Order.",3,20,
LOR SAN TEKKA,KYLO REN,16,The First Order rose from the dark side... you did not.,2,11,
KYLO REN,LOR SAN TEKKA,17,I'll show you the dark side.,1,6,
LOR SAN TEKKA,KYLO REN,18,"You may try, but you cannot deny the truth that is your family.",2,13,
KYLO REN,LOR SAN TEKKA,19,You're so right.,1,3,
POE,KYLO REN,20,So who talks first? You talk first? I talk first?,1,10,
KYLO REN,POE,21,The old man gave it to you.,1,7,
POE,KYLO REN,22,It's just very hard to understand you with all the...,2,10,
KYLO REN,STORMTROOPERS,23,Search him.,1,2,
POE,KYLO REN,24,...Apparatus.,1,1,
STORMTROOPER #1,KYLO REN,25,"Nothing, sir.",1,2,
KYLO REN,STORMTROOPERS,26,Put him on board.,1,4,
PHASMA,KYLO REN,27,"Sir, the villagers.",1,3,
KYLO REN,"PHASMA, STORMTROOPERS",28,Kill them all.,1,3,
PHASMA,STORMTROOPERS,29,On my command! Fire!,1,4,
POE,STORMTROOPERS,30,"Please, no.",1,2,
STORMTROOPER #2,STORMTROOPERS,31,Nothing here. Go ahead!,1,4,
POE,STORMTROOPER,32,All right. All right!,1,4,
PHASMA,FINN,33,FN-2187. Submit your blaster for inspection.,2,6,
FINN,PHASMA,34,"Yes, Captain.",1,2,
PHASMA,FINN,35,And who gave you permission to remove that helmet?,2,9,
FINN,PHASMA,36,"I'm sorry, Captain.",1,3,
PHASMA,FINN,37,Report to my division at once.,1,6,
UNKAR,REY,38,What you brought me today is worth... Hmmm... One quarter portion.,3,11,
REY,TEEDO,39,Tal'ama parqual! Parqual zatana!,2,4,
REY,TEEDO,40,Noma,1,1,
REY,BB8,41,That's just Teedo. Wants you for parts. He has no respect for anyone.,2,13,
REY,BB8,42,Your antenna's bent. Where do you come from?,2,8,
