from,to,dialogue,yarn_id
ANAKIN,R2D2,"Lock onto them, Artoo.",875851
ANAKIN,OBI-WAN,"Master, General Grievous's ship is directly ahead.",875852
ANAKIN,OBI-WAN,The one crawling with vulture droids.,875853
OBI-WAN,ANAKIN,I see it.,875854
OBI-WAN,ANAKIN,"Oh, this is going to be easy.",875854
OBI-WAN,ODD BALL,"Odd Ball, do you copy?",875855
ODD BALL,OBI-WAN,"Copy, Red Leader.",875855
OBI-WAN,ODD BALL,Mark my position and form your squad up behind me.,875856
ODD BALL,OBI-WAN,"We're on your tail, General Kenobi.",875857
ODD BALL,OBI-WAN,Set S-foils in attack position.,875858
ANAKIN,OBI-WAN,This is where the fun begins.,875859
OBI-WAN,RED GROUP,Let them pass between us.,875860
ODD BALL,RED GROUP,They're all over me.,875861
ODD BALL,RED GROUP,Get them off my-.,875861
ANAKIN,OBI-WAN,I'm gonna go help them out.,875862
OBI-WAN,ANAKIN,No.,875862
OBI-WAN,ANAKIN,No.,875862
OBI-WAN,ANAKIN,They are doing their job so we can do ours.,875863
ANAKIN,OBI-WAN,Missiles.,875864
ANAKIN,OBI-WAN,Pull up.,875864
OBI-WAN,ANAKIN,They overshot us.,875865
ANAKIN,OBI-WAN,They're coming around.,875865
OBI-WAN,R4,"All right, R4.",875866
OBI-WAN,R4,"No, no, no,no-, no.",875867
OBI-WAN,R4,Nothing too fancy.,875867
ANAKIN,R2D2,"Surge all power units, R2.",875868
ANAKIN,R2D2,Stand by reverse thrusters.,875868
ANAKIN,R2D2,"We got 'em, R2.",875869
OBI-WAN,OBI-WAN,Flying is for droids.,875870
OBI-WAN,ANAKIN,I'm hit.,875871
OBI-WAN,ANAKIN,Anakin?,875871
ANAKIN,OBI-WAN,I see them.,875871
ANAKIN,OBI-WAN,Buzz droids.,875871
OBI-WAN,R4,"R4, be careful.",875872
OBI-WAN,R4,You have a-.,875872
OBI-WAN,OBI-WAN,"Oh, dear.",875873
OBI-WAN,ANAKIN,They're shutting down all the controls.,875874
ANAKIN,OBI-WAN,Move to the right so I can get a clear shot at them.,875875
OBI-WAN,ANAKIN,The mission.,875875
OBI-WAN,ANAKIN,Get to the command ship.,875876
OBI-WAN,ANAKIN,Get the chancellor.,875876
OBI-WAN,ANAKIN,I'm running out of tricks here.,875876
OBI-WAN,ANAKIN,In the name of- Hold your fire!,875877;875878
OBI-WAN,ANAKIN,You're not helping.,875878
ANAKIN,OBI-WAN,I agree.,875878
ANAKIN,OBI-WAN,Bad idea.,875878
OBI-WAN,ANAKIN,I can't see a thing.,875879
OBI-WAN,ANAKIN,My cockpit's fogging.,875879
OBI-WAN,ANAKIN,They're all over me.,875880
OBI-WAN,ANAKIN,Anakin!,875880
ANAKIN,OBI-WAN,Move to the right.,875881
OBI-WAN,ANAKIN,"Hold on, Anakin.",875881
OBI-WAN,ANAKIN,You're gonna get us both killed.,875881
OBI-WAN,ANAKIN,Get out of here.,875882
OBI-WAN,ANAKIN,There's nothing more you can do.,875882
ANAKIN,OBI-WAN,"I'm not leaving without you, Master.",875883
ANAKIN,R2D2,"Get him, R2.",875884
ANAKIN,R2D2,Watch out.,875885
OBI-WAN,R2D2,"R2, hit the buzz droid's centre eye.",875886
ANAKIN,R2D2,"Yeah, you got him!",875887
OBI-WAN,R2D2,"Great, Artoo.",875887
ANAKIN,OBI-WAN,The General's Command Ship is dead ahead.,875888
R2D2,GROUP,SCREAM
OBI-WAN,ANAKIN,"Well, have you noticed the shields are still up?",875889
ANAKIN,OBI-WAN,"Sorry, Master.",875890
OBI-WAN,ANAKIN,"Oh, I have a bad feeling about this.",875891
BATTLE DROID,NA,There they are.,875892
BATTLE DROID,NA,Get 'em.,875892
OBI-WAN,R2D2,"Artoo, locate the Chancellor.",875893
OBI-WAN,ANAKIN,The Chancellor's signal is coming from right there.,875894
OBI-WAN,ANAKIN,The observation platform at the top of that spire.,875895
ANAKIN,OBI-WAN,I sense Count Dooku.,875896
OBI-WAN,ANAKIN,I sense a trap.,875897
ANAKIN,OBI-WAN,Next move?,875897
OBI-WAN,ANAKIN,Spring the trap.,875898
ANAKIN,R2D2,"Artoo, go back.",875899
ANAKIN,R2D2,I need you to stay with the ship.,875899
OBI-WAN,R2D2,"Here, take this, and wait for orders.",875900
GENERAL GRIEVOUS,CAPTAIN,"What's the situation, Captain?",875901
CAPTAIN,GENERAL GRIEVOUS,TWO Jedi have landed in the main hangar bay.,875902
CAPTAIN,GENERAL GRIEVOUS,We're tracking them.,875902
GENERAL GRIEVOUS,CAPTAIN,Just as Count Dooku predicted.,875903
ANAKIN,OBI-WAN,Destroyers!,875904
BATTLE DROID,"OBI-WAN, ANAKIN",Drop your weapons!,875905
BATTLE DROID,"OBI-WAN, ANAKIN",I said drop 'em.,875905
BATTLE DROID,"OBI-WAN, ANAKIN",Roger roger rogerroger.,875907
BATTLE DROID,NA,Those are Jedi fighters all right.,875908
OBI-WAN,ANAKIN,Did you press the stop button?,875909
ANAKIN,OBI-WAN,"No, did you?",875909
OBI-WAN,ANAKIN,No!,875910
ANAKIN,OBI-WAN,"Well, there's more than one way out of here.",875910
OBI-WAN,ANAKIN,"We don't want to get out, we want to get moving.",875911;875912
OBI-WAN,R2D2,Artoo.
OBI-WAN,R2D2,Activate elevator.,875912
OBI-WAN,R2D2,3-1-1-7-4.,875912
OBI-WAN,R2D2,"Come in, Artoo.",875913
SUPER BATTLE DROID 1,NA,What's that?,875913
OBI-WAN,R2D2,"Artoo, do you copy?",875914
OBI-WAN,R2D2,"Artoo, activate the elevator number 31174.",875916
SUPER BATTLE DROID 2,NA,Get back to work.,875917
SUPER BATTLE DROID 2,NA,That nothing.,875917
OBI-WAN,R2D2,Activate the elevator number 31174.,875918
OBI-WAN,R2D2,Artoo?,875918
OBI-WAN,OBI-WAN,Always on the move.,875920
OBI-WAN,R2D2,"Artoo, switch on the comlink.",875921
OBI-WAN,R2D2,"Artoo, can you hear me?",875922
OBI-WAN,R2D2,Artoo.
OBI-WAN,R2D2,"Stop, stop!",875926
OBI-WAN,R2D2,"Artoo, we need to be going up.",875926
DROID 1,ANAKIN,"Hands up, Jedi!",875927
OBI-WAN,R2D2,"Artoo, do you copy?",875928
OBI-WAN,R2D2,"Artoo, do you hear me?",875929
OBI-WAN,R2D2,"Artoo, we need to be going up, not down.",875929
SUPER BATTLE DROID 1,R2D2,Hey you!,875930
OBI-WAN,R2D2,"Now, that's better.",875931
SUPER BATTLE DROID 1,R2D2,You stupid little astro droid!,875932
DROID 1,NA,Uh oh.,875933
OBI-WAN,ANAKIN,"Oh, it's you.",875934
SUPER BATTLE DROID,NA,My eyes my eyes!,875935
ANAKIN,OBI-WAN,What was that all about?,875936
OBI-WAN,ANAKIN,"Well, Artoo has been.",875936
ANAKIN,OBI-WAN,No loose wire jokes.,875937
OBI-WAN,ANAKIN,Did I say anything?,875937
ANAKIN,OBI-WAN,He's trying!,875938
OBI-WAN,ANAKIN,I didn't say anything!,875938
OBI-WAN,PALPATINE,Chancellor.,875939
ANAKIN,PALPATINE,Are you all right?,875939
PALPATINE,"OBI-WAN, ANAKIN",Count Dooku.,875940
OBI-WAN,ANAKIN,This time we will do it together.,875941
ANAKIN,OBI-WAN,I was about to say that.,875941
PALPATINE,"OBI-WAN, ANAKIN",Get help!,875942
PALPATINE,"OBI-WAN, ANAKIN",You're no match for him.,875942
PALPATINE,"OBI-WAN, ANAKIN",He's a Sith Lord.,875942
OBI-WAN,PALPATINE,"Chancellor Palpatine, Sith Lords are our specialty.",875943
COUNT DOOKU,"OBI-WAN, ANAKIN","Your swords, please.",875944
COUNT DOOKU,"OBI-WAN, ANAKIN",We don't want to make a mess of things in front of the Chancellor.,875945
OBI-WAN,COUNT DOOKU,"You won't get away this time, Dooku.",875946
COUNT DOOKU,"OBI-WAN, ANAKIN",I've been looking forward to this.,875947
ANAKIN,COUNT DOOKU,"My powers have doubled since the last time we met, Count.",875948
COUNT DOOKU,ANAKIN,Good.,875949
COUNT DOOKU,ANAKIN,"Twice the pride, double the fall.",875949
PALPATINE,NA,Get-,875950
COUNT DOOKU,ANAKIN,"I sense great fear in you, Skywalker.",875951
COUNT DOOKU,ANAKIN,"You have hate, you have anger, but you don't use them.",875952
PALPATINE,ANAKIN,"Good, Anakin, good.",875954
PALPATINE,ANAKIN,Kill him.,875955
PALPATINE,ANAKIN,Kill him now!,875956
ANAKIN,PALPATINE,I shouldn't.,875957
PALPATINE,ANAKIN,Do it!,875958
PALPATINE,ANAKIN,"You did well, Anakin.",875959
PALPATINE,ANAKIN,He was too dangerous to be kept alive.,875960
ANAKIN,PALPATINE,"Yes, but he was an unarmed prisoner.",875961
ANAKIN,PALPATINE,"I shouldn't have done that, Chancellor.",875962
ANAKIN,PALPATINE,It's not the Jedi way.,875962
PALPATINE,ANAKIN,It is only natural.,875963
PALPATINE,ANAKIN,"He cut off your arm, and you wanted revenge.",875963
PALPATINE,ANAKIN,"It wasn't the first time, Anakin.",875964
PALPATINE,ANAKIN,Remember what you told me about your mother and the Sand People.,875965
PALPATINE,ANAKIN,"Now, we must leave before more security droids arrive.",875966
PALPATINE,ANAKIN,"Anakin, there is no time.",875967
PALPATINE,ANAKIN,We must get off the ship before it's too late.,875968
ANAKIN,PALPATINE,He seems to be all right.,875969
PALPATINE,ANAKIN,"Leave him, or we'll never make it.",875969
ANAKIN,PALPATINE,His fate will be the same as ours.,875970
GENERAL GRIEVOUS,PILOT,Prepare for attack.,875971
PILOT,NA,All batteries fire!,875972
PILOT,NA,Fire!,875972
ANAKIN,PALPATINE,"Elevator's not working,",875973
ANAKIN,R2D2,Artoo.,875973
ANAKIN,R2D2,Activate Elevator 3224.,875974
PILOT,NA,Reverse stabilizers.,875975
DROID PILOT,NA,Reversing stabilizers,875975
R2D2,NA,YELL
PILOT,NA,Magnetize!,875976
PILOT,NA,Magnetize!,875976
GENERAL GRIEVOUS,PILOT,Fire the emergency booster engines.,875977
PILOT,GENERAL GRIEVOUS,"We're leveling out, sir.",875978
ANAKIN,OBI-WAN,Easy.,875978
ANAKIN,OBI-WAN,We're in a bit of a situation.,875978
OBI-WAN,ANAKIN,Did I miss something?,875981
ANAKIN,OBI-WAN,Hold on.,875981
OBI-WAN,ANAKIN,What is that?,875982
ANAKIN,OBI-WAN,"Uh, oops.",875982
ANAKIN,R2D2,"Artoo, Artoo, shut down the elevator!",875982
OBI-WAN,ANAKIN,Too late!,875982
OBI-WAN,ANAKIN,Jump!,875982
OBI-WAN,ANAKIN,Let's see if we can find something in the hangar bay that's still flyable.,875985
OBI-WAN,ANAKIN,Come on.,875985
ANAKIN,R2D2,"Artoo, get down here.",875986
ANAKIN,R2D2,"Artoo, do you copy?",875987
BODYGUARD,GENERAL GRIEVOUS,"General, we found the Jedi.",875988
BODYGUARD,GENERAL GRIEVOUS,They're in hallway 328.,875989
GENERAL GRIEVOUS,NA,Activate ray shields.,875989
ANAKIN,OBI-WAN,Ray shields!,875990
OBI-WAN,ANAKIN,"Wait a minute, how'd this happen!",875991
