from,to,dialogue,yarn_id
QUI-GON,MAOI MADAKOR,Captain.,870083
MAOI MADAKOR,QUI-GON,"Yes, sir?",870083
QUI-GON,MAOI MADAKOR,Tell them we wish to board at once.,870084
MAOI MADAKOR,NUTE,With all due respect.,870085
MAOI MADAKOR,NUTE,the ambassadors for the supreme chancellor wish to board immediately.,870086
NUTE,MAOI MADAKOR,"Yes, of course.",870087
NUTE,MAOI MADAKOR,"As you know, our blockade is perfectly legal.",870088
NUTE,MAOI MADAKOR,and we'd be happy to receive the ambassadors.,870089
TC-14,"QUI-GON, OBI-WAN",I'm TC-14 at your service.,870090
TC-14,"QUI-GON, OBI-WAN","This way, please.",870091
TC-14,"QUI-GON, OBI-WAN","We are greatly honoured by your visit, Ambassadors.",870092
TC-14,"QUI-GON, OBI-WAN",Make yourselves comfortable.,870093
TC-14,"QUI-GON, OBI-WAN",My master will be with you shortly.,870094
OBI-WAN,QUI-GON,I have a bad feeling about this.,870095
QUI-GON,OBI-WAN,I don't sense anything.,870096
OBI-WAN,QUI-GON,"It's not about the mission, Master.",870096
OBI-WAN,QUI-GON,"It's something elsewhere, elusive.",870097
QUI-GON,OBI-WAN,"Don't center on your anxieties, Obi-Wan.",870098
QUI-GON,OBI-WAN,"Keep your concentration here and now, where it belongs.",870099
OBI-WAN,QUI-GON,But Master Yoda said I should be mindful of the future.,870100
QUI-GON,OBI-WAN,But not at the expense of the moment.,870101
QUI-GON,OBI-WAN,"Be mindful of the living Force, young Padawan.",870102
OBI-WAN,QUI-GON,"Yes, Master.",870103
OBI-WAN,QUI-GON,How do you think this trade viceroy will deal with the chancellor's demands?,870104
QUI-GON,OBI-WAN,These Federation types are cowards.,870105
QUI-GON,OBI-WAN,The negotiations will be short.,870106
NUTE,TC-14,What?,870107
NUTE,TC-14,What did you say?,870107
TC-14,"NUTE, DAULTAY","The ambassadors are Jedi knights, I believe.",870108
DAULTAY,NUTE,I knew it.,870109
DAULTAY,NUTE,They're here to force a settlement.,870110
NUTE,DAULTAY,Distract them.,870111
NUTE,DAULTAY,I will contact Lord Sidious.,870111
DAULTAY,NUTE,Are you brain-dead?,870112
DAULTAY,NUTE,I'm not going in there with two Jedi.,870113
DAULTAY,"TC-14, NUTE",Send a droid.,870114
OBI-WAN,QUI-GON,Is it in their nature to make us wait this long?,870115
QUI-GON,OBI-WAN,No.,870116
QUI-GON,OBI-WAN,I sense an unusual amount of fear.,870116
QUI-GON,OBI-WAN,for something as trivial as this trade dispute.,870116
PALPATINE,"NUTE, DAULTAY",What is it?,870117
DAULTAY,PALPATINE,"This scheme of yours has failed, Lord Sidious.",870118
DAULTAY,PALPATINE,The blockade is finished.,870119
DAULTAY,PALPATINE,We dare not go against these Jedi.,870119
PALPATINE,"NUTE, DAULTAY","Viceroy, I don't want this stunted slime in my sight again.",870120
PALPATINE,NUTE,This turn of events is unfortunate.,870121
PALPATINE,NUTE,We must accelerate our plans.,870122
PALPATINE,NUTE,Begin landing your troops.,870122
NUTE,PALPATINE,"My lord, is that legal?",870123
PALPATINE,NUTE,I will make it legal.,870124
NUTE,PALPATINE,And the Jedi?,870125
PALPATINE,NUTE,The chancellor should never have brought them into this.,870126
PALPATINE,NUTE,Kill them immediately.,870126
NUTE,PALPATINE,"Yes, Yes, my lord.",870127
NUTE,PALPATINE,As you wish.,870127
ANTIDAR WILLIAMS,MAOI MADAKOR,"Captain, look!",870128
MAOI MADAKOR,ANTIDAR WILLIAMS,Shields.,870129
TC-14,"QUI-GON, OBI-WAN",Sorry.,870130
QUI-GON,OBI-WAN,Dioxis.,870131
NUTE,NA,They must be dead by now.,870132
NUTE,NA,Destroy what's left of them.,870133
TC-14,NA,Oh!,870134
TC-14,NA,Excuse me.,870134
BATTLE DROID,NA,"Check it out, Corporal.",870135
BATTLE DROID,NA,We'll cover you.,870135
BATTLE DROID 2,NA,"Roger, roger.",870135
BATTLE DROID,NA,Uh-oh.,870136
BATTLE DROID,NA,Blast them.,870136
NUTE,TEY HOW,What is going on down there?,870137
TEY HOW,NUTE,"We lost the transmission, sir.",870138
RUNE,NUTE,"Have you ever encountered a Jedi knight before, sir?",870139
NUTE,RUNE,"Well, no, but I don't.",870140
NUTE,TEY HOW,Seal off the bridge.,870140
TEY HOW,NUTE,"Yes, sir.",870141
RUNE,NUTE,"That won't be enough, sir.",870141
NUTE,TEY HOW,I want droidekas,870142
NUTE,TEY HOW,up here at once!,870142
RUNE,NUTE,We will not survive this.,870143
NUTE,TEY HOW,Close the blast doors!,870144
NUTE,NA,That will hold them.,870145
RUNE,NUTE,They are still coming through.,870146
NUTE,RUNE,This is impossible!,870147
RUNE,NUTE,Where are those droidekas?,870148
OBI-WAN,QUI-GON,Master!,870149
OBI-WAN,QUI-GON,Destroyers!,870149
OBI-WAN,QUI-GON,They have shield generators!,870150
QUI-GON,OBI-WAN,It's a standoff.,870151
QUI-GON,OBI-WAN,Let's go.,870151
